City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Broome,US,2022-07-14 18:32:19,42.2506,-75.833,79.47,57,75,9.22
59,Hokitika,NZ,2022-07-14 18:32:19,-42.7167,170.9667,45.66,72,87,4.23
60,Borogontsy,RU,2022-07-14 18:32:20,62.6683,131.1683,63.82,96,100,5.82
61,Vaini,TO,2022-07-14 18:32:20,-21.2,-175.2,75.36,94,6,8.05
62,Bambous Virieux,MU,2022-07-14 18:32:20,-20.3428,57.7575,70.21,78,75,11.5
63,Longyearbyen,SJ,2022-07-14 18:32:22,78.2186,15.6401,58.84,63,40,10.36
64,Cidreira,BR,2022-07-14 18:32:22,-30.1811,-50.2056,59.49,97,100,15.41
65,Zhigansk,RU,2022-07-14 18:32:22,66.7697,123.3711,53.44,90,100,14.63
66,Puerto Gaitan,CO,2022-07-14 18:32:07,4.3133,-72.0816,80.74,76,90,6.42
67,Lhokseumawe,ID,2022-07-14 18:32:23,5.1801,97.1507,76.95,89,90,6.22
68,Tasiilaq,GL,2022-07-14 18:32:24,65.6145,-37.6368,50.16,70,100,5.75
69,Jackson,US,2022-07-14 18:32:24,42.4165,-122.8345,82.71,45,0,3.44
70,Yellowknife,CA,2022-07-14 18:30:21,62.456,-114.3525,64.92,68,75,8.05
71,Dingle,PH,2022-07-14 18:32:25,10.9995,122.6711,75.6,92,77,1.28
72,Abramovka,RU,2022-07-14 18:32:25,51.1886,41.0202,59.76,87,2,12.73
73,Tevaitoa,PF,2022-07-14 18:32:25,-16.7833,-151.5,77.09,66,100,23.44
74,Yumen,CN,2022-07-14 18:32:25,40.2833,97.2,64.83,73,100,14.03
75,Codrington,AU,2022-07-14 18:32:26,-38.2667,141.9667,43.43,97,37,8.72
76,Pevek,RU,2022-07-14 18:32:26,69.7008,170.3133,34.23,83,5,12.5
77,Pangnirtung,CA,2022-07-14 18:32:26,66.1451,-65.7125,52.86,63,75,3.42
78,Isla Vista,US,2022-07-14 18:32:27,34.4133,-119.861,92.37,54,40,4.61
79,Poum,NC,2022-07-14 18:32:27,-20.2333,164.0167,71.46,56,11,19.39
80,Nampula,MZ,2022-07-14 18:32:27,-15.1165,39.2666,67.95,77,40,8.05
81,Goderich,CA,2022-07-14 18:32:27,43.7501,-81.7165,68.32,73,0,8.05
82,Saint George,US,2022-07-14 18:32:28,37.1041,-113.5841,101.95,21,0,6.91
83,Cherskiy,RU,2022-07-14 18:32:28,68.75,161.3,42.73,63,100,2.55
84,Tutoia,BR,2022-07-14 18:32:28,-2.7619,-42.2744,81.39,76,10,8.63
85,Samfya,ZM,2022-07-14 18:32:29,-11.3649,29.5565,65.28,44,30,8.16
86,Whyalla,AU,2022-07-14 18:32:29,-33.0333,137.5833,48.36,68,0,9.82
87,Puerto Escondido,MX,2022-07-14 18:32:29,15.85,-97.0667,85.03,70,100,11.5
88,Cayenne,GF,2022-07-14 18:30:09,4.9333,-52.3333,84.09,1,99,3.0
89,Salur,IN,2022-07-14 18:32:29,18.5333,83.2167,78.12,83,100,1.16
90,Noumea,NC,2022-07-14 18:32:30,-22.2763,166.4572,70.0,99,52,16.31
91,Inhambane,MZ,2022-07-14 18:32:30,-23.865,35.3833,62.58,82,0,0.0
92,Hatta,IN,2022-07-14 18:32:30,24.1167,79.6,84.76,68,46,6.24
93,Korla,CN,2022-07-14 18:32:30,41.7597,86.1469,74.86,41,23,5.23
94,Biltine,TD,2022-07-14 18:33:31,14.5333,20.9167,78.58,73,100,3.29
95,Guerrero Negro,MX,2022-07-14 18:29:01,27.9769,-114.0611,72.88,61,28,13.44
96,Muros,ES,2022-07-14 18:33:31,42.7762,-9.0603,73.08,73,100,3.6
97,Lugovoy,KZ,2022-07-14 18:33:31,42.9472,72.7644,67.96,32,0,4.65
98,Amaigbo,NG,2022-07-14 18:33:31,5.7892,7.8383,73.9,94,92,4.29
99,Sapele,NG,2022-07-14 18:33:32,5.8941,5.6767,74.1,94,53,3.91
100,Langsa,ID,2022-07-14 18:33:32,4.4683,97.9683,74.43,96,92,2.21
101,La Rochelle,FR,2022-07-14 18:33:32,46.1667,-1.15,75.27,64,0,14.97
102,Comodoro Rivadavia,AR,2022-07-14 18:33:32,-45.8667,-67.5,37.26,81,40,8.05
103,Clyde River,CA,2022-07-14 18:33:33,70.4692,-68.5914,48.43,71,0,9.22
104,Bethanien,NA,2022-07-14 18:33:33,-26.502,17.1583,60.1,25,0,7.16
105,Menongue,AO,2022-07-14 18:33:33,-14.6585,17.691,56.7,43,0,5.41
106,Ponta Delgada,PT,2022-07-14 18:30:37,37.7333,-25.6667,74.12,78,75,12.66
107,Dikson,RU,2022-07-14 18:33:09,73.5069,80.5464,41.14,79,19,10.42
108,Ribeira Grande,PT,2022-07-14 18:33:34,38.5167,-28.7,73.8,83,40,14.97
109,Araouane,ML,2022-07-14 18:33:34,18.9048,-3.5265,104.25,17,82,9.28
110,Georgetown,MY,2022-07-14 18:30:16,5.4112,100.3354,80.89,92,20,3.44
111,Nueva Loja,EC,2022-07-14 18:33:34,0.0847,-76.8828,86.02,62,0,4.61
112,Kaitangata,NZ,2022-07-14 18:33:34,-46.2817,169.8464,39.11,96,100,7.05
113,Hilo,US,2022-07-14 18:33:35,19.7297,-155.09,78.28,88,75,3.0
114,Copiapo,CL,2022-07-14 18:31:58,-27.3667,-70.3333,58.69,46,54,7.52
115,Sarakhs,IR,2022-07-14 18:30:56,36.5449,61.1577,89.74,23,0,4.61
116,Murray Bridge,AU,2022-07-14 18:30:16,-35.1167,139.2667,46.13,83,6,7.05
117,Shiraz,IR,2022-07-14 18:28:38,29.6036,52.5388,83.64,14,0,0.0
118,Adrar,MR,2022-07-14 18:33:35,20.5022,-10.0711,105.06,15,27,10.29
119,Saldanha,ZA,2022-07-14 18:33:35,-33.0117,17.9442,53.65,86,0,10.67
120,Alekseyevsk,RU,2022-07-14 18:33:35,57.8406,108.3492,56.07,84,100,1.88
121,Geraldton,AU,2022-07-14 18:28:53,-28.7667,114.6,61.21,77,40,8.05
122,Busselton,AU,2022-07-14 18:33:36,-33.65,115.3333,58.93,75,60,15.93
123,Chuy,UY,2022-07-14 18:33:36,-33.6971,-53.4616,59.81,87,46,10.67
124,Esperance,AU,2022-07-14 18:33:36,-33.8667,121.9,58.68,84,5,19.95
125,Rocha,UY,2022-07-14 18:33:36,-34.4833,-54.3333,61.65,80,21,10.69
126,Leningradskiy,RU,2022-07-14 18:33:37,69.3833,178.4167,35.82,75,7,11.41
127,Madera,US,2022-07-14 18:33:37,37.1666,-119.8343,102.4,21,59,4.0
128,Ilulissat,GL,2022-07-14 18:32:28,69.2167,-51.1,55.42,47,20,6.91
129,Saskylakh,RU,2022-07-14 18:33:37,71.9167,114.0833,41.2,87,100,7.87
130,Grindavik,IS,2022-07-14 18:33:38,63.8424,-22.4338,52.27,71,75,6.91
131,Bengkulu,ID,2022-07-14 18:33:38,-3.8004,102.2655,76.8,90,100,4.68
132,Hofn,IS,2022-07-14 18:33:38,64.2539,-15.2082,49.84,81,45,6.71
133,Mackay,AU,2022-07-14 18:33:38,-21.15,149.2,53.65,64,50,13.35
134,Port Hedland,AU,2022-07-14 18:33:39,-20.3167,118.5667,53.65,87,65,6.91
135,Samarai,PG,2022-07-14 18:33:39,-10.6167,150.6667,76.05,72,100,19.75
136,Jequie,BR,2022-07-14 18:33:39,-13.8575,-40.0836,74.7,74,51,7.63
137,Pochutla,MX,2022-07-14 18:33:39,15.7432,-96.4661,82.81,58,99,10.47
138,Palana,RU,2022-07-14 18:33:14,59.1167,159.9667,51.67,89,49,3.09
139,Bredasdorp,ZA,2022-07-14 18:33:40,-34.5322,20.0403,51.66,85,18,3.44
140,Lac Du Bonnet,CA,2022-07-14 18:30:16,50.2536,-96.0612,74.1,68,100,7.09
141,Ambon,ID,2022-07-14 18:34:40,-3.6954,128.1814,78.24,15,75,9.22
142,Puerto Ayora,EC,2022-07-14 18:34:40,-0.7393,-90.3518,78.76,87,69,8.99
143,Klaksvik,FO,2022-07-14 18:34:40,62.2266,-6.589,50.92,74,76,14.12
144,Faanui,PF,2022-07-14 18:34:41,-16.4833,-151.75,77.23,71,99,25.7
145,Carnarvon,AU,2022-07-14 18:34:41,-24.8667,113.6333,66.83,81,45,10.63
146,Dunedin,NZ,2022-07-14 18:30:30,-45.8742,170.5036,42.8,79,100,8.01
147,Castro,BR,2022-07-14 18:34:41,-24.7911,-50.0119,71.11,56,40,8.03
148,Okha,RU,2022-07-14 18:34:42,53.5739,142.9478,53.01,96,83,13.02
149,Cockburn Town,TC,2022-07-14 18:34:01,21.4612,-71.1419,81.3,76,100,20.56
150,Hithadhoo,MV,2022-07-14 18:34:42,-0.6,73.0833,83.39,74,100,14.81
151,Harper,LR,2022-07-14 18:34:42,4.375,-7.7169,75.76,80,99,9.17
152,Dharchula,IN,2022-07-14 18:34:43,29.85,80.5333,72.12,84,96,5.64
153,Sinnamary,GF,2022-07-14 18:34:43,5.3833,-52.95,81.23,82,78,6.93
154,Lafia,NG,2022-07-14 18:34:43,8.4833,8.5167,75.22,91,12,3.91
155,Vanderhoof,CA,2022-07-14 18:32:09,54.0166,-124.0198,60.55,62,100,4.88
156,Comarapa,BO,2022-07-14 18:34:43,-17.9,-64.4833,58.28,83,100,8.03
157,San Quintin,MX,2022-07-14 18:34:44,30.4833,-115.95,72.88,66,0,12.8
158,Narrabri,AU,2022-07-14 18:34:44,-30.3167,149.7833,40.51,91,0,1.99
159,San Andres,CO,2022-07-14 18:34:44,12.5847,-81.7006,87.82,74,75,13.8
160,Norman Wells,CA,2022-07-14 18:34:44,65.282,-126.8329,48.24,93,100,10.36
161,Cajati,BR,2022-07-14 18:34:45,-24.7361,-48.1228,75.33,68,24,3.22
162,Margate,GB,2022-07-14 18:34:45,51.3813,1.3862,69.31,74,69,4.0
163,Padang,ID,2022-07-14 18:34:45,-0.9492,100.3543,77.58,85,100,4.52
164,Portland,US,2022-07-14 18:33:36,45.5234,-122.6762,78.49,59,0,8.05
165,Vieques,PR,2022-07-14 18:34:45,18.425,-65.8329,86.02,70,75,16.11
166,Vao,NC,2022-07-14 18:34:46,-22.6667,167.4833,71.62,57,94,24.83
167,Morros,BR,2022-07-14 18:34:46,-9.4467,-46.3003,93.52,26,39,10.22
168,Hervey Bay,AU,2022-07-14 18:34:46,-25.2986,152.8535,55.65,78,13,14.65
169,Bluff,NZ,2022-07-14 18:34:47,-46.6,168.3333,36.81,88,100,11.07
170,Yarada,IN,2022-07-14 18:34:47,17.65,83.2667,82.72,74,75,10.36
171,Krishnarajpet,IN,2022-07-14 18:34:47,12.655,76.4883,68.27,78,100,16.06
172,Cairns,AU,2022-07-14 18:32:04,-16.9167,145.7667,55.06,89,40,9.22
173,Chernyshevskiy,RU,2022-07-14 18:34:47,63.0128,112.4714,60.12,68,100,2.08
174,Duldurga,RU,2022-07-14 18:34:48,50.6761,113.5931,56.64,92,0,2.44
175,Manoel Urbano,BR,2022-07-14 18:34:48,-8.8389,-69.2597,87.46,54,100,2.71
176,Thompson,CA,2022-07-14 18:34:48,55.7435,-97.8558,68.16,94,100,3.44
177,Qaanaaq,GL,2022-07-14 18:34:48,77.484,-69.3632,45.73,80,30,6.89
178,Boyolangu,ID,2022-07-14 18:34:49,-8.1181,111.8935,74.61,94,78,4.43
179,Tilichiki,RU,2022-07-14 18:34:49,60.4667,166.1,59.99,78,0,13.24
180,Beloha,MG,2022-07-14 18:34:49,-25.1667,45.05,63.55,79,0,3.71
181,Basco,PH,2022-07-14 18:34:50,20.4487,121.9702,85.17,76,100,17.74
182,Andenes,NO,2022-07-14 18:34:50,69.3143,16.1194,51.78,93,75,11.5
183,Luderitz,NA,2022-07-14 18:34:50,-26.6481,15.1594,64.42,44,0,11.95
